id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
21aNAIL002x02;21aNAIL002x02;NAIL002;Neuronové sítì;4;840;SU2;90;1;;16;;Mrázová Iveta, doc. RNDr., CSc., Mráz František, RNDr., CSc.
21aNAIL060p1;21aNAIL060p1;NAIL060;Implementace neuronových sítí 1;4;940;S4;90;1;;16;;Božovský Petr, RNDr., CSc.
21aNAIL060x01;21aNAIL060x01;NAIL060;Implementace neuronových sítí 1;4;1040;SW1;90;1;;16;;Božovský Petr, RNDr., CSc.
21aNAIL062x04;21aNAIL062x04;NAIL062;Výroková a predikátová logika;4;540;S6;90;1;;16;;Bulín Jakub, RNDr., Ph.D.
21aNAIL099x01;21aNAIL099x01;NAIL099;Semináø strojového uèení a modelování 1;4;840;S8;90;2;;16;sude;Holeòa Martin, prof. RNDr. Ing., CSc.
21aNDBI007p1;21aNDBI007p1;NDBI007;Databázové pøístupové metody;4;640;S3;90;1;;15;;Holubová Irena, doc. RNDr., Ph.D.
21aNDBI007p2;21aNDBI007p2;NDBI007;Databázové pøístupové metody;4;540;S1;90;1;;15;;Holubová Irena, doc. RNDr., Ph.D.
21aNDBI025x01;21aNDBI025x01;NDBI025;Databázové systémy;4;940;S6;90;2;;13;;Lokoè Jakub, doc. RNDr., Ph.D.
21aNDBI025x07;21aNDBI025x07;NDBI025;Databázové systémy;4;540;S7;90;2;;16;;Kopecký Michal, RNDr., Ph.D.
21aNDBI048p1;21aNDBI048p1;NDBI048;Data Science;4;740;S5;90;1;;16;;Holubová Irena, doc. RNDr., Ph.D.
21aNDBI048x01;21aNDBI048x01;NDBI048;Data Science;4;840;SW1;90;1;;16;;Holubová Irena, doc. RNDr., Ph.D.
21aNDMI002p2;21aNDMI002p2;NDMI002;Diskrétní matematika;4;840;S3;90;1;;15;;Koutecký Martin, Mgr., Ph.D.
21aNDMI011x04;21aNDMI011x04;NDMI011;Kombinatorika a grafy 1;4;540;S10;90;1;;16;;Lieskovský Matej, Mgr.
21aNDMI011x06;21aNDMI011x06;NDMI011;Kombinatorika a grafy 1;4;940;S7;90;1;;16;;Penev Irena, Dr.
21aNDMI011x08;21aNDMI011x08;NDMI011;Kombinatorika a grafy 1;4;640;S6;90;1;;16;;Èermák Filip, Bc.
21aNDMI050x01;21aNDMI050x01;NDMI050;Úvod do øešení problémù kombinatorických, mat. i jiných (IPS) I;4;1159;S3;90;1;;15;;Mareš Martin, Mgr., Ph.D., Konèický Václav, Bc.
21aNDMI098p1;21aNDMI098p1;NDMI098;Algoritmická teorie her;4;840;S9;90;1;;16;;Balko Martin, RNDr., Ph.D.
21aNDMI098x01;21aNDMI098x01;NDMI098;Algoritmická teorie her;4;940;S9;90;1;;16;;Balko Martin, RNDr., Ph.D.
21aNMAI055p1;21aNMAI055p1;NMAI055;Matematická analýza 2;4;540;S5;90;1;;16;;Pultr Aleš, prof. RNDr., DrSc.
21aNMAI055x01;21aNMAI055x01;NMAI055;Matematická analýza 2;4;640;S10;90;1;;16;;Lopatková Markéta, doc. RNDr., Ph.D.
21aNMAI055x02;21aNMAI055x02;NMAI055;Matematická analýza 2;4;640;S7;90;1;;16;;Zeman Peter, Mgr.
21aNMAI055x04;21aNMAI055x04;NMAI055;Matematická analýza 2;4;640;S11;90;1;;16;;Tyomkyn Mykhaylo, Ph.D.
21aNMAI057x21;21aNMAI057x21;NMAI057;Lineární algebra 1;4;840;S7;90;1;;15;;Èerný Martin, Bc., Zeman Peter, Mgr.
21aNMAI060p2;21aNMAI060p2;NMAI060;Pravdìpodobnostní metody;4;540;S8;90;1;;16;;Antoch Jaromír, prof. RNDr., CSc.
21aNMAI165x02;21aNMAI165x02;NMAI165;Praktikum z pravdìpodobnostních metod;4;640;S8;90;1;;15;;Antoch Jaromír, prof. RNDr., CSc.
21aNMIN263p1;21aNMIN263p1;NMIN263;Principy poèítaèù a operaèní systémy;4;1040;S1;90;1;;16;;Jákl Vojtìch, RNDr.
21aNPFL006p1;21aNPFL006p1;NPFL006;Úvod do formální lingvistiky;4;640;S1;90;1;;16;;Ševèíková Magda, Mgr., Ph.D.
21aNPFL015x01;21aNPFL015x01;NPFL015;Metody automatizovaného pøekladu;4;840;S10;90;1;;16;;Kuboò Vladislav, doc. RNDr., Ph.D.
21aNPFL038p1;21aNPFL038p1;NPFL038;Základy rozpoznávání a generování mluvené øeèi;4;940;SU1;90;1;;16;;Peterek Nino, Mgr., Ph.D.
21aNPFL038x01;21aNPFL038x01;NPFL038;Základy rozpoznávání a generování mluvené øeèi;4;1040;SU2;90;1;;16;;Peterek Nino, Mgr., Ph.D.
21aNPFL092p1;21aNPFL092p1;NPFL092;Technologie pro NLP;4;740;S421;45;1;;16;;Žabokrtský Zdenìk, doc. Ing., Ph.D., Rosa Rudolf, Mgr., Ph.D.
21aNPFL092x01;21aNPFL092x01;NPFL092;Technologie pro NLP;4;640;S421;90;1;;16;;Žabokrtský Zdenìk, doc. Ing., Ph.D., Rosa Rudolf, Mgr., Ph.D.
21aNPFL094p1;21aNPFL094p1;NPFL094;Morfologická a syntaktická analýza;4;840;SU1;90;1;;16;;Zeman Daniel, RNDr., Ph.D.
21aNPFL097p1;21aNPFL097p1;NPFL097;Neøízené strojové uèení v NLP;4;540;S11;45;1;;16;;Mareèek David, RNDr., Ph.D.
21aNPFL097x01;21aNPFL097x01;NPFL097;Neøízené strojové uèení v NLP;4;590;S11;45;1;;16;;Mareèek David, RNDr., Ph.D.
21aNPFL125x01;21aNPFL125x01;NPFL125;Základy jazykových technologií;4;640;SW1;90;1;;16;;Žabokrtský Zdenìk, doc. Ing., Ph.D., Rosa Rudolf, Mgr., Ph.D.
21aNPGR035x02;21aNPGR035x02;NPGR035;Strojové uèení v poèítaèovém vidìní;4;540;SU1;90;1;;16;;Šikudová Elena, doc. RNDr., Ph.D.
21aNPGR039p1;21aNPGR039p1;NPGR039;Úvod do animované tvorby;4;540;SW1;45;1;;16;;Brom Cyril, doc. Mgr., Ph.D., Javora Ondøej, MgA.
21aNPGR039x01;21aNPGR039x01;NPGR039;Úvod do animované tvorby;4;590;SW1;45;1;;16;;Brom Cyril, doc. Mgr., Ph.D., Javora Ondøej, MgA.
21aNPRG013x01;21aNPRG013x01;NPRG013;Programování v jazyce Java;4;640;SU2;90;1;;16;;Kofroò Jan, doc. RNDr., Ph.D.
21aNPRG030p2;21aNPRG030p2;NPRG030;Programování 1;4;740;S3;90;1;;15;;Holan Tomáš, RNDr., Ph.D.
21aNPRG035x01;21aNPRG035x01;NPRG035;Programování v jazyce C#;4;840;SW2;90;1;;16;;Kliber Filip, Mgr.
21aNPRG035x04;21aNPRG035x04;NPRG035;Programování v jazyce C#;4;1040;SW2;90;1;;16;;Ježek Pavel, Mgr., Ph.D.
21aNPRG041p2;21aNPRG041p2;NPRG041;Programování v C++;4;840;S4;90;1;;16;;Bednárek David, RNDr., Ph.D.
21aNPRG041x05;21aNPRG041x05;NPRG041;Programování v C++;4;1040;S7;90;1;;16;;Zavoral Filip, RNDr., Ph.D.
21aNPRG041x06;21aNPRG041x06;NPRG041;Programování v C++;4;740;SW2;90;1;;16;;Faltín Tomáš, Mgr.
21aNPRG041x08;21aNPRG041x08;NPRG041;Programování v C++;4;540;SW2;90;1;;15;;Šmelko Adam, Mgr.
21aNPRG059x01;21aNPRG059x01;NPRG059;Praktikum z pokroèilého objektového programování;4;1090;S7;45;1;;16;;Ježek Pavel, Mgr., Ph.D., Hnìtynka Petr, doc. RNDr., Ph.D., Zavoral Filip, RNDr., Ph.D.
21aNPRG068p1;21aNPRG068p1;NPRG068;Programování v Haskellu;4;740;S4;90;1;;16;;Kratochvíl Miroslav, RNDr., Ph.D.
21aNSWI015p1;21aNSWI015p1;NSWI015;Unix/Linux Programming in C;4;540;S4;90;1;;16;;Pechanec Jan, Mgr., Kotal Vladimír, Mgr.
21aNSWI015x01;21aNSWI015x01;NSWI015;Unix/Linux Programming in C;4;640;SU1;90;1;;16;liche;Kotal Vladimír, Mgr.
21aNSWI015x02;21aNSWI015x02;NSWI015;Unix/Linux Programming in C;4;640;SU1;90;2;;16;sude;Kotal Vladimír, Mgr.
21aNSWI106x03;21aNSWI106x03;NSWI106;Administrace Linuxu;4;940;SU2;90;1;;16;;Aschenbrenner Vojtìch, Ing.
21aNSWI130x01;21aNSWI130x01;NSWI130;Architektury softwarových systémù;4;840;S6;90;1;;16;;Neèaský Martin, doc. Mgr., Ph.D.
21aNSWI130x02;21aNSWI130x02;NSWI130;Architektury softwarových systémù;4;740;S8;90;1;;16;;Neèaský Martin, doc. Mgr., Ph.D.
21aNSWI142x01;21aNSWI142x01;NSWI142;Programování webových aplikací;4;940;SW2;90;1;;16;;Hoksza David, doc. RNDr., Ph.D.
21aNSWI142x04;21aNSWI142x04;NSWI142;Programování webových aplikací;4;640;SW2;90;1;;16;;Peška Ladislav, Mgr., Ph.D.
21aNSWI142x05;21aNSWI142x05;NSWI142;Programování webových aplikací;4;1040;SU1;90;1;;15;;Škoda Petr, Mgr., Ph.D.
