id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
21aNAIL025x01;21aNAIL025x01;NAIL025;Evoluèní algoritmy 1;5;740;SU2;90;1;;16;;Pilát Martin, Mgr., Ph.D.
21aNAIL062x03;21aNAIL062x03;NAIL062;Výroková a predikátová logika;5;540;S7;90;1;;16;;Pilát Martin, Mgr., Ph.D.
21aNAIL062x08;21aNAIL062x08;NAIL062;Výroková a predikátová logika;5;540;S10;90;1;;16;;Hric Jan, RNDr.
21aNAIL087p1;21aNAIL087p1;NAIL087;Informatika a kognitivní vìdy 1;5;540;S4;90;1;;16;;Lukavský Jiøí, Mgr., Ph.D., Dìchtìrenko Filip, Mgr., Ph.D., Antolík Ján, Mgr., Ph.D.
21aNAIL087x01;21aNAIL087x01;NAIL087;Informatika a kognitivní vìdy 1;5;640;S4;90;1;;16;;Dìchtìrenko Filip, Mgr., Ph.D., Antolík Ján, Mgr., Ph.D.
21aNAIL116p1;21aNAIL116p1;NAIL116;Sociální sítì a jejich analýza;5;640;S5;90;1;;16;;Mrázová Iveta, doc. RNDr., CSc., Mráz František, RNDr., CSc.
21aNAIL116x01;21aNAIL116x01;NAIL116;Sociální sítì a jejich analýza;5;540;SW1;90;1;;16;;Mrázová Iveta, doc. RNDr., CSc., Mráz František, RNDr., CSc.
21aNCGD002p1;21aNCGD002p1;NCGD002;Vývoj poèítaèových her 2;5;840;S3;90;1;;16;liche;Gemrot Jakub, Mgr., Ph.D., Kolek Lukáš, Mgr., Ph.D.
21aNCGD002x01;21aNCGD002x01;NCGD002;Vývoj poèítaèových her 2;5;840;S3;90;2;;15;sude;Gemrot Jakub, Mgr., Ph.D., Kolek Lukáš, Mgr., Ph.D.
21aNCGD004p1;21aNCGD004p1;NCGD004;Úvod do herního designu;5;640;S9;45;1;;16;;Kolek Lukáš, Mgr., Ph.D.
21aNCGD004x01;21aNCGD004x01;NCGD004;Úvod do herního designu;5;690;S9;45;1;;16;;Kolek Lukáš, Mgr., Ph.D.
21aNDBI025x02;21aNDBI025x02;NDBI025;Databázové systémy;5;540;S11;90;2;;15;;Lokoè Jakub, doc. RNDr., Ph.D.
21aNDBI025x04;21aNDBI025x04;NDBI025;Databázové systémy;5;740;S7;90;2;;16;;Kopecký Michal, RNDr., Ph.D.
21aNDMI002x14;21aNDMI002x14;NDMI002;Diskrétní matematika;5;640;S6;90;1;;16;;Hons Tomáš, Bc.
21aNDMI011x02;21aNDMI011x02;NDMI011;Kombinatorika a grafy 1;5;640;S10;90;1;;16;;Pekárek Jakub, Mgr.
21aNDMI084p2;21aNDMI084p2;NDMI084;Úvod do aproximaèních a pravdìpodobnostních algoritmù;5;640;S3;90;1;;16;;Sgall Jiøí, prof. RNDr., DrSc.
21aNJAZ201x01;21aNJAZ201x01;NJAZ201;Academic Writing for Mathematicians I;5;690;S11;90;1;;16;;Goodall Andrew, D.Phil.
21aNJAZ203x01;21aNJAZ203x01;NJAZ203;Academic Writing for Computer Scientists I;5;790;S11;90;1;;16;;Goodall Andrew, D.Phil.
21aNMAI062p1;21aNMAI062p1;NMAI062;Algebra 1;5;540;S5;90;1;;16;;Patáková Zuzana, RNDr., Ph.D.
21aNMAI069x09;21aNMAI069x09;NMAI069;Matematické dovednosti;5;540;S6;90;1;;16;;Kynèl Jan, Mgr., Ph.D.
21aNPGR003x05;21aNPGR003x05;NPGR003;Základy poèítaèové grafiky;5;540;SU2;90;1;;15;;Tázlar Vojtìch, Mgr.
21aNPRG013x05;21aNPRG013x05;NPRG013;Programování v jazyce Java;5;740;SU1;90;1;;16;;Kofroò Jan, doc. RNDr., Ph.D.
21aNPRG035x02;21aNPRG035x02;NPRG035;Programování v jazyce C#;5;640;SW2;90;1;;16;;Kliber Filip, Mgr.
21aNPRG035x03;21aNPRG035x03;NPRG035;Programování v jazyce C#;5;540;SW2;90;1;;16;;Pacovský Jan, Mgr.
21aNPRG041x03;21aNPRG041x03;NPRG041;Programování v C++;5;740;SW2;90;1;;16;;Husák Robert, Mgr. Ing.
21aNPRG041x07;21aNPRG041x07;NPRG041;Programování v C++;5;640;SU2;90;1;;16;;Drozdík Tomáš, Bc.
21aNSWI004p1;21aNSWI004p1;NSWI004;Operaèní systémy;5;540;S3;90;1;;16;;Tùma Petr, prof. Ing., Dr.
21aNSWI004x01;21aNSWI004x01;NSWI004;Operaèní systémy;5;740;S9;90;1;;16;liche;Bulej Lubomír, doc. Ing., Ph.D.
21aNSWI004x02;21aNSWI004x02;NSWI004;Operaèní systémy;5;740;S9;90;2;;16;sude;Horký Vojtìch, Mgr., Ph.D.
21aNTIN061x01;21aNTIN061x01;NTIN061;Algoritmy a datové struktury 2;5;640;S7;90;1;;16;;Majerech Vladan, Mgr., Dr.
