id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
21aNAIL002p1;21aNAIL002p1;NAIL002;Neuronové sítì;1;840;S5;90;1;;16;;Mrázová Iveta, doc. RNDr., CSc., Mráz František, RNDr., CSc.
21aNAIL002x01;21aNAIL002x01;NAIL002;Neuronové sítì;1;740;SU2;90;1;;16;;Mrázová Iveta, doc. RNDr., CSc., Mráz František, RNDr., CSc.
21aNAIL062x05;21aNAIL062x05;NAIL062;Výroková a predikátová logika;1;740;S11;90;1;;16;;Hric Jan, RNDr.
21aNAIL062x07;21aNAIL062x07;NAIL062;Výroková a predikátová logika;1;740;S7;90;1;;16;;Pantùèková Kristýna, Mgr.
21aNAIL069p1;21aNAIL069p1;NAIL069;Umìlá inteligence 1;1;640;S3;90;1;;15;;Barták Roman, prof. RNDr., Ph.D.
21aNAIL069p2;21aNAIL069p2;NAIL069;Umìlá inteligence 1;1;540;S5;90;1;;16;;Barták Roman, prof. RNDr., Ph.D.
21aNAIL069x01;21aNAIL069x01;NAIL069;Umìlá inteligence 1;1;1040;SU2;90;1;;16;liche;Fink Jiøí, RNDr., Ph.D., Švancara Jiøí, Mgr., Ph.D.
21aNAIL069x02;21aNAIL069x02;NAIL069;Umìlá inteligence 1;1;1040;SU2;90;2;;16;sude;Fink Jiøí, RNDr., Ph.D., Švancara Jiøí, Mgr., Ph.D.
21aNAIL122p1;21aNAIL122p1;NAIL122;Umìlá inteligence pro poèítaèové hry;1;540;SW1;90;1;;16;liche;Gemrot Jakub, Mgr., Ph.D.
21aNAIL122x01;21aNAIL122x01;NAIL122;Umìlá inteligence pro poèítaèové hry;1;540;SW1;90;2;;15;sude;Gemrot Jakub, Mgr., Ph.D.
21aNDBI025x06;21aNDBI025x06;NDBI025;Databázové systémy;1;1040;S7;90;2;;13;;Kopecký Michal, RNDr., Ph.D.
21aNDBI044p1;21aNDBI044p1;NDBI044;Bioinformatické algoritmy, databáze a nástroje;1;940;S4;90;1;;16;;Hoksza David, doc. RNDr., Ph.D.
21aNDBI044x01;21aNDBI044x01;NDBI044;Bioinformatické algoritmy, databáze a nástroje;1;1040;S8;90;1;;16;;Hoksza David, doc. RNDr., Ph.D.
21aNDMI002x13;21aNDMI002x13;NDMI002;Diskrétní matematika;1;740;S6;90;1;;16;;Skotnica Michael, Mgr.
21aNDMI084x02;21aNDMI084x02;NDMI084;Úvod do aproximaèních a pravdìpodobnostních algoritmù;1;940;S7;90;1;;16;liche;Lieskovský Matej, Mgr.
21aNMAI057x16;21aNMAI057x16;NMAI057;Lineární algebra 1;1;840;S6;90;1;;16;;Hubáèek Pavel, Mgr., Ph.D.
21aNMAI062x01;21aNMAI062x01;NMAI062;Algebra 1;1;640;S6;90;1;;16;;Krasula Dominik, Bc.
21aNMAI062x02;21aNMAI062x02;NMAI062;Algebra 1;1;740;S8;90;1;;16;;Krasula Dominik, Bc.
21aNMAI073x01;21aNMAI073x01;NMAI073;Pravdìpodobnost a statistika 2;1;1040;S6;90;1;;16;;Šámal Robert, doc. Mgr., Ph.D.
21aNPFL004x01;21aNPFL004x01;NPFL004;Semináø z formální lingvistiky;1;840;S1;100;1;;16;;Hajièová Eva, prof. PhDr., DrSc.
21aNPFL099p1;21aNPFL099p1;NPFL099;Statistické dialogové systémy;1;940;S10;90;1;;16;;Dušek Ondøej, Mgr. et Mgr., Ph.D.
21aNPFL099x01;21aNPFL099x01;NPFL099;Statistické dialogové systémy;1;1040;S10;45;1;;15;liche;Dušek Ondøej, Mgr. et Mgr., Ph.D.
21aNPFL101x01;21aNPFL101x01;NPFL101;Soutìžní strojový pøeklad;1;540;SU1;90;1;;16;;Bojar Ondøej, doc. RNDr., Ph.D.
21aNPFL122p1;21aNPFL122p1;NPFL122;Hluboké zpìtnovazební uèení;1;540;S3;90;1;;16;;Straka Milan, RNDr., Ph.D.
21aNPFL122x01;21aNPFL122x01;NPFL122;Hluboké zpìtnovazební uèení;1;640;S1;90;1;;16;;Straka Milan, RNDr., Ph.D.
21aNPFL129p2;21aNPFL129p2;NPFL129;Úvod do strojového uèení v Pythonu;1;740;S5;90;1;;16;;Straka Milan, RNDr., Ph.D.
21aNPGR003p2;21aNPGR003p2;NPGR003;Základy poèítaèové grafiky;1;540;S4;90;1;;16;;Wilkie Alexander, doc., Dr.
21aNPGR003x01;21aNPGR003x01;NPGR003;Základy poèítaèové grafiky;1;940;SU2;90;1;;16;;Tázlar Vojtìch, Mgr.
21aNPGR003x03;21aNPGR003x03;NPGR003;Základy poèítaèové grafiky;1;640;SW2;90;1;;16;;Wilkie Alexander, doc., Dr.
21aNPGR035p1;21aNPGR035p1;NPGR035;Strojové uèení v poèítaèovém vidìní;1;640;S9;90;1;;16;;Šikudová Elena, doc. RNDr., Ph.D.
21aNPGR035x01;21aNPGR035x01;NPGR035;Strojové uèení v poèítaèovém vidìní;1;940;SU1;90;1;;16;;Šikudová Elena, doc. RNDr., Ph.D.
21aNPRG013p2;21aNPRG013p2;NPRG013;Programování v jazyce Java;1;840;S4;90;1;;16;;Hnìtynka Petr, doc. RNDr., Ph.D.
21aNPRG013x02;21aNPRG013x02;NPRG013;Programování v jazyce Java;1;940;SW1;90;1;;16;;Khalyeyev Danylo, Mgr.
21aNPRG014x01;21aNPRG014x01;NPRG014;Koncepty moderních programovacích jazykù;1;840;S3;180;1;;16;;Bureš Tomáš, prof. RNDr., Ph.D., Pech Václav, Mgr.
21aNPRG030x12;21aNPRG030x12;NPRG030;Programování 1;1;1040;SW2;90;1;;16;;Holan Tomáš, RNDr., Ph.D.
21aNPRG035p2;21aNPRG035p2;NPRG035;Programování v jazyce C#;1;740;S9;90;1;;15;;Ježek Pavel, Mgr., Ph.D.
21aNPRG041x02;21aNPRG041x02;NPRG041;Programování v C++;1;740;SW2;90;1;;16;;Bednárek David, RNDr., Ph.D.
21aNPRG056x01;21aNPRG056x01;NPRG056;Programování mobilních zaøízení;1;640;S4;180;1;;16;liche;Kofroò Jan, doc. RNDr., Ph.D., Prokop Lukáš
21aNPRG062x11;21aNPRG062x11;NPRG062;Algoritmizace;1;990;SW2;45;1;;16;;Holan Tomáš, RNDr., Ph.D.
21aNPRG067x01;21aNPRG067x01;NPRG067;Python pro praxi;1;640;SU2;90;1;;16;;Hnìtynka Petr, doc. RNDr., Ph.D., Bureš Tomáš, prof. RNDr., Ph.D., Peška Ladislav, Mgr., Ph.D.
21aNPRG073x01;21aNPRG073x01;NPRG073;Programování v jazyce Rust;1;540;S1;90;1;;15;liche;Vaner Michal, Mgr., Šimerda Pavel
21aNSWI072p1;21aNSWI072p1;NSWI072;Algoritmy komprese dat;1;640;S5;90;1;;16;;Dvoøák Tomáš, doc. RNDr., CSc.
21aNSWI130p1;21aNSWI130p1;NSWI130;Architektury softwarových systémù;1;1040;S3;90;1;;16;;Neèaský Martin, doc. Mgr., Ph.D.
21aNSWI142p1;21aNSWI142p1;NSWI142;Programování webových aplikací;1;740;S3;90;1;;16;;Škoda Petr, Mgr., Ph.D.
21aNSWI154x03;21aNSWI154x03;NSWI154;Nástroje pro vývoj software;1;840;SU2;90;1;;16;;Parízek Pavel, doc. RNDr., Ph.D.
21aNTIN061x04;21aNTIN061x04;NTIN061;Algoritmy a datové struktury 2;1;740;S10;90;1;;16;;Majerech Vladan, Mgr., Dr.
21aNTIN066x03;21aNTIN066x03;NTIN066;Datové struktury 1;1;940;S6;90;1;;16;;Fink Jiøí, RNDr., Ph.D.
21aNTIN066x04;21aNTIN066x04;NTIN066;Datové struktury 1;1;640;S7;90;1;;16;;Vu Tung Anh, Mgr.
21aNTIN087p1;21aNTIN087p1;NTIN087;Textové algoritmy;1;840;S9;90;1;;15;;Dvoøák Tomáš, doc. RNDr., CSc.
21aNTIN090x03;21aNTIN090x03;NTIN090;Základy složitosti a vyèíslitelnosti;1;940;S8;90;2;;16;sude;Majerech Vladan, Mgr., Dr.
21aNTIN090x04;21aNTIN090x04;NTIN090;Základy složitosti a vyèíslitelnosti;1;940;S8;90;1;;16;liche;Majerech Vladan, Mgr., Dr.
21aNUIN018p1;21aNUIN018p1;NUIN018;Vývoj poèítaèových her - pro uèitele;1;640;SW1;90;1;;16;;Holan Tomáš, RNDr., Ph.D.
21aNUIN018x01;21aNUIN018x01;NUIN018;Vývoj poèítaèových her - pro uèitele;1;740;SW1;45;1;;16;;Holan Tomáš, RNDr., Ph.D.
21aNUIN019p1;21aNUIN019p1;NUIN019;Základy tvorby webu;1;790;SW1;45;1;;16;;Pešková Klára, Mgr., Ph.D.
21aNUIN019x01;21aNUIN019x01;NUIN019;Základy tvorby webu;1;840;SW1;90;1;;16;;Pešková Klára, Mgr., Ph.D.
;R110742003;;Schuze UFAL;1;790;S1;50;1;;13;; 
;R110742007;;Gaudeamus Pikurus;1;1080;S1;180;1;;14;; 
