id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
20bNAIL070p2;20bNAIL070p2;NAIL070;Umìlá inteligence 2;1;640;S4;90;1;;14;;Barták Roman, prof. RNDr., Ph.D.
20bNAIL082x01;20bNAIL082x01;NAIL082;Semináø z umìlých bytostí;1;1040;S7;90;1;;14;;Brom Cyril, doc. Mgr., Ph.D., Gemrot Jakub, Mgr., Ph.D.
20bNAIL093x01;20bNAIL093x01;NAIL093;Semináø z psaní vìdeckých textù;1;1140;S7;90;1;;14;;Brom Cyril, doc. Mgr., Ph.D.
20bNAIL101p1;20bNAIL101p1;NAIL101;Pravdìpodobnostní robotika;1;740;S10;90;1;;14;;Obdrálek David, RNDr., Ph.D.
20bNAIL101x01;20bNAIL101x01;NAIL101;Pravdìpodobnostní robotika;1;840;S10;90;1;;14;;Obdrálek David, RNDr., Ph.D.
20bNAIL106x01;20bNAIL106x01;NAIL106;Multiagentní systémy;1;940;SU2;90;1;;14;;Pilát Martin, Mgr., Ph.D.
20bNAIL107x01;20bNAIL107x01;NAIL107;Strojové uèení v bioinformatice;1;1040;SW1;90;1;;14;;Mráz Frantiek, RNDr., CSc.
20bNAIL119p1;20bNAIL119p1;NAIL119;Pøírodou inspirované algoritmy;1;540;S4;90;1;;14;;Pilát Martin, Mgr., Ph.D.
20bNAIL120p1;20bNAIL120p1;NAIL120;Úvod do umìlé inteligence;1;840;S4;90;1;;14;;Barták Roman, prof. RNDr., Ph.D.
20bNAIL120p2;20bNAIL120p2;NAIL120;Úvod do umìlé inteligence;1;540;S9;90;1;;14;;Barták Roman, prof. RNDr., Ph.D.
20bNDBI038p1;20bNDBI038p1;NDBI038;Vyhledávání na webu;1;740;S8;90;1;;14;;Skopal Tomá, prof. RNDr., Ph.D.
20bNDBI038x01;20bNDBI038x01;NDBI038;Vyhledávání na webu;1;840;S8;90;2;;14;sude;Skopal Tomá, prof. RNDr., Ph.D.
20bNDMI012p1;20bNDMI012p1;NDMI012;Kombinatorika a grafy 2;1;940;S5;90;1;;14;;Koutecký Martin, Mgr., Ph.D.
20bNMAI056p2;20bNMAI056p2;NMAI056;Matematická analýza 3;1;840;S11;90;1;;14;;Pultr Ale, prof. RNDr., DrSc.
20bNMAI058x17;20bNMAI058x17;NMAI058;Lineární algebra 2;1;1040;S11;90;1;;14;;Èerný Martin, Bc., Zeman Peter, Mgr.
20bNMAI059p1;20bNMAI059p1;NMAI059;Pravdìpodobnost a statistika 1;1;640;S3;90;1;;14;;ámal Robert, doc. Mgr., Ph.D.
20bNMAI066p1;20bNMAI066p1;NMAI066;Topologické a algebraické metody;1;740;S221;90;1;;14;;Pultr Ale, prof. RNDr., DrSc.
20bNOPT048p1;20bNOPT048p1;NOPT048;Lineární programování a kombinatorická optimalizace;1;740;S9;90;1;;14;;Sgall Jiøí, prof. RNDr., DrSc.
20bNOPT048x04;20bNOPT048x04;NOPT048;Lineární programování a kombinatorická optimalizace;1;640;S11;90;1;;14;;Tiwary Hans Raj, doc., M.Sc., Ph.D.
20bNOPT053x01;20bNOPT053x01;NOPT053;Optimalizaèní semináø;1;540;S6;90;1;;14;;Hartman David, Ing., Ph.D., Hladík Milan, doc. Mgr., Ph.D.
20bNPFL004x01;20bNPFL004x01;NPFL004;Semináø z formální lingvistiky;1;840;S1;90;1;;14;;Hajièová Eva, prof. PhDr., DrSc.
20bNPFL114p1;20bNPFL114p1;NPFL114;Hluboké uèení;1;590;S5;135;1;;14;;Straka Milan, RNDr., Ph.D.
20bNPFL114p2;20bNPFL114p2;NPFL114;Hluboké uèení;1;790;S5;135;1;;14;;Straka Milan, RNDr., Ph.D.
20bNPGR038p1;20bNPGR038p1;NPGR038;Základy vývoje poèítaèových her;1;940;S4;90;1;;14;;Gemrot Jakub, Mgr., Ph.D.
20bNPGR038x01;20bNPGR038x01;NPGR038;Základy vývoje poèítaèových her;1;1040;SW2;90;1;;14;;Gemrot Jakub, Mgr., Ph.D.
20bNPRG021p1;20bNPRG021p1;NPRG021;Pokroèilé programování v jazyce Java;1;540;S3;90;1;;14;;Hnìtynka Petr, doc. RNDr., Ph.D.
20bNPRG021p2;20bNPRG021p2;NPRG021;Pokroèilé programování v jazyce Java;1;840;S9;90;1;;14;;Hnìtynka Petr, doc. RNDr., Ph.D.
20bNPRG036p1;20bNPRG036p1;NPRG036;Datové formáty;1;840;S3;90;1;;14;;Klímek Jakub, RNDr., Ph.D.
20bNPRG038p1;20bNPRG038p1;NPRG038;Pokroèilé programování v jazyce C#;1;740;S3;90;1;;14;;Jeek Pavel, Mgr., Ph.D.
20bNPRG038x06;20bNPRG038x06;NPRG038;Pokroèilé programování v jazyce C#;1;740;SU2;90;1;;14;;Kliber Filip, Mgr.
20bNPRG042p1;20bNPRG042p1;NPRG042;Programování v paralelním prostøedí;1;740;S4;90;1;;14;;Kruli Martin, doc. RNDr., Ph.D., Yaghob Jakub, RNDr., Ph.D.
20bNPRG065p1;20bNPRG065p1;NPRG065;Programování v Pythonu;1;940;S3;90;1;;14;;Kofroò Jan, doc. RNDr., Ph.D., Bure Tomá, prof. RNDr., Ph.D.
20bNSWI041x02;20bNSWI041x02;NSWI041;Úvod do softwarového inenýrství;1;940;S6;90;1;;14;;koda Petr, Mgr., Ph.D.
20bNSWI054x01;20bNSWI054x01;NSWI054;Softwarové inenýrství pro spolehlivé systémy;1;540;S1;190;1;;14;liche;Bure Tomá, prof. RNDr., Ph.D.
20bNSWI090p1;20bNSWI090p1;NSWI090;Poèítaèové sítì;1;640;S9;90;1;;14;;Svoboda Martin, RNDr., Ph.D.
20bNSWI126x01;20bNSWI126x01;NSWI126;Pokroèilé nástroje pro vývoj a monitorování software;1;1040;SU2;90;1;;14;;Parízek Pavel, doc. RNDr., Ph.D.
20bNSWI131p1;20bNSWI131p1;NSWI131;Vyhodnocování výkonnosti poèítaèových systémù;1;840;S6;90;1;;14;;Tùma Petr, prof. Ing., Dr.
20bNSWI131x01;20bNSWI131x01;NSWI131;Vyhodnocování výkonnosti poèítaèových systémù;1;940;SU1;90;1;;14;liche;Tùma Petr, prof. Ing., Dr.
20bNSWI132p1;20bNSWI132p1;NSWI132;Analýza programù a verifikace kódu;1;640;S7;90;1;;14;;Parízek Pavel, doc. RNDr., Ph.D.
20bNSWI132x01;20bNSWI132x01;NSWI132;Analýza programù a verifikace kódu;1;740;S7;90;1;;14;;Parízek Pavel, doc. RNDr., Ph.D.
20bNTIN064p1;20bNTIN064p1;NTIN064;Vyèíslitelnost;1;940;S1;90;1;;14;;Kuèera Antonín, doc. RNDr., CSc.
20bNTIN071p2;20bNTIN071p2;NTIN071;Automaty a gramatiky;1;1040;S4;90;1;;14;;Bulín Jakub, RNDr., Ph.D.
20bNTIN071x06;20bNTIN071x06;NTIN071;Automaty a gramatiky;1;940;S11;90;1;;14;;Kuboò Vladislav, doc. RNDr., Ph.D.
;R110708609;;Schùze ÚFAL;1;790;S1;45;1;;14;;Lopatková Markéta, doc. RNDr., Ph.D.
;R110708610;;Gaudeamus Pikurus;1;1080;S1;180;1;;14;;Pokorný Jaroslav, prof. RNDr., CSc.
;R110736683;;;1;1040;S8;90;;10.5.2021;1;;Tancer Martin, doc. RNDr., Ph.D.
;R110738705;;;1;1040;S8;90;;17.5.2021;1;;Tancer Martin, doc. RNDr., Ph.D.
;R110738706;;;1;1040;S8;90;;24.5.2021;1;;Tancer Martin, doc. RNDr., Ph.D.
;R110738707;;;1;1040;S8;90;;31.5.2021;1;;Tancer Martin, doc. RNDr., Ph.D.
RG110748518;R110748519;;;1;440;SU2;795;;9.8.2021;1;;Forstová Lenka, Mgr.
RG110748518;R110748526;;;1;440;SU2;795;;16.8.2021;1;;Forstová Lenka, Mgr.
RG110748518;R110748533;;;1;440;SU2;795;;23.8.2021;1;;Forstová Lenka, Mgr.
RG110748518;R110748540;;;1;440;SU2;795;;30.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748547;;;1;440;SW2;795;;9.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748554;;;1;440;SW2;795;;16.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748561;;;1;440;SW2;795;;23.8.2021;1;;Forstová Lenka, Mgr.
RG110748546;R110748568;;;1;440;SW2;795;;30.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748575;;;1;440;SW1;795;;9.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748582;;;1;440;SW1;795;;16.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748589;;;1;440;SW1;795;;23.8.2021;1;;Forstová Lenka, Mgr.
RG110748574;R110748596;;;1;440;SW1;795;;30.8.2021;1;;Forstová Lenka, Mgr.
RG110749248;R110749249;;;1;970;S6;100;;21.6.2021;1;;Hladík Milan, doc. Mgr., Ph.D.
RG110749259;R110749260;;;1;540;S4;150;;26.7.2021;1;;Töpfer Pavel, doc. RNDr., CSc.
RG110751388;R110751389;;;1;540;S3;300;;13.9.2021;1;;Hegrová Kateøina
RG110751396;R110751397;;;1;540;S4;300;;13.9.2021;1;;Hegrová Kateøina
RG110751402;R110751403;;;1;540;S5;300;;13.9.2021;1;;Hegrová Kateøina
RG110751904;R110751905;;;1;540;S5;240;;26.7.2021;1;;Hubièka Jan, doc. Mgr., Ph.D.
RG110751936;R110751937;;;1;540;S4;180;;19.7.2021;1;;Holan Tomá, RNDr., Ph.D.
RG110754394;R110754395;;;1;440;S9;795;;2.8.2021;1;;Hovorka Martin, Ing.
RG110754394;R110754402;;;1;440;S9;795;;9.8.2021;1;;Hovorka Martin, Ing.
RG110754394;R110754409;;;1;440;S9;795;;16.8.2021;1;;Hovorka Martin, Ing.
RG110754947;R110754948;;;1;540;SU2;240;;6.9.2021;1;;Dvoøák Tomá, doc. RNDr., CSc.
RG110754949;R110754950;;;1;540;SW2;240;;6.9.2021;1;;Dvoøák Tomá, doc. RNDr., CSc.
RG110755399;R110755400;;;1;600;S3;480;;6.9.2021;1;;Mare Martin, Mgr., Ph.D.
20bNAIL029p1;20bNAIL029p1;NAIL029;Strojové uèení;2;940;S9;90;1;;14;;Vomlelová Marta, Mgr., Ph.D.
20bNAIL052x01;20bNAIL052x01;NAIL052;Semináø z umìlé inteligence 2;2;840;S10;90;1;;14;;Barták Roman, prof. RNDr., Ph.D.
20bNAIL063p1;20bNAIL063p1;NAIL063;Teorie mnoin;2;740;S9;90;1;;14;;Kynèl Jan, Mgr., Ph.D.
20bNAIL068x02;20bNAIL068x02;NAIL068;Umìlé bytosti;2;1040;SU2;90;1;;14;;Gemrot Jakub, Mgr., Ph.D.
20bNAIL070p1;20bNAIL070p1;NAIL070;Umìlá inteligence 2;2;540;S5;90;1;;14;;Barták Roman, prof. RNDr., Ph.D.
20bNAIL071p1;20bNAIL071p1;NAIL071;Plánování a rozvrhování;2;740;S4;90;1;;14;;Barták Roman, prof. RNDr., Ph.D.
20bNAIL102x01;20bNAIL102x01;NAIL102;Filosofické problémy Informatiky;2;1040;S11;90;1;;14;liche;Neruda Roman, Mgr., CSc., ejnoha Jiøí, Mgr.
20bNAIL123p1;20bNAIL123p1;NAIL123;Procedurální generování obsahu poèítaèových her;2;540;SW1;90;1;;14;liche;Gemrot Jakub, Mgr., Ph.D., Èerný Vojtìch, Mgr.
20bNAIL123x01;20bNAIL123x01;NAIL123;Procedurální generování obsahu poèítaèových her;2;640;SW1;90;2;;14;sude;Gemrot Jakub, Mgr., Ph.D., Èerný Vojtìch, Mgr.
20bNAIL124x02;20bNAIL124x02;NAIL124;Cvièení z teorie mnoin;2;940;S6;90;1;;14;;Penev Irena, Dr.
20bNDBI006p1;20bNDBI006p1;NDBI006;Dotazovací jazyky 2;2;540;S10;90;1;;14;;Pokorný Jaroslav, prof. RNDr., CSc., Svoboda Martin, RNDr., Ph.D.
20bNDBI006x01;20bNDBI006x01;NDBI006;Dotazovací jazyky 2;2;640;S10;90;1;;14;;Pokorný Jaroslav, prof. RNDr., CSc., Svoboda Martin, RNDr., Ph.D.
20bNDBI042x01;20bNDBI042x01;NDBI042;Techniky vizualizace dat;2;940;S7;90;2;;14;sude;Hoksza David, doc. RNDr., Ph.D.
20bNDIN012x01;20bNDIN012x01;NDIN012;Didaktika uivatelského software;2;1040;SW1;90;1;;14;;Holan Tomá, RNDr., Ph.D., Hannemann Tereza, Mgr., Ph.D.
20bNDIN019x01;20bNDIN019x01;NDIN019;Dìtské programovací jazyky;2;940;SU1;90;1;;14;;Forstová Lenka, Mgr.
20bNDMI022x01;20bNDMI022x01;NDMI022;Kombinatorický semináø;2;1040;S321;90;1;;14;;Tancer Martin, doc. RNDr., Ph.D., Pangrác Ondøej, RNDr., Ph.D., Loebl Martin, prof. RNDr., CSc., Penev Irena, Dr.
20bNMAI042x01;20bNMAI042x01;NMAI042;Numerická matematika;2;840;S6;90;1;;14;;Congreve Scott, Ph.D.
